id,fir_number,crime_case_id,investigating_officer_id,complainant_name,complainant_contact,sections,filed_at,status,narrative,attachments,dataset_provenance,source_import_job_id,source_file,source_row_ref
a73480d9-a1c2-557f-b9c0-8e75a6b496a3,FIR-000001,779a21d1-1f96-5363-b8ab-8a8ff017f2f4,e405f439-f6c4-5bf7-991b-5206324ac40c,Unknown complainant,,OT-000007,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000001
48f39553-47ea-5c34-a05e-d3354063845f,FIR-000002,375a0694-a593-5e57-8ec5-caccea3d683d,43519298-c666-583f-8293-b3a8f751d793,Tamil Nadu Person PERSON-008528,,OT-000027,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000002
e206f121-56c6-504e-9cc9-f824bc69d621,FIR-000003,881c6824-da7a-5eec-a885-c0765f9ba9fe,bbd1c064-dc1d-5b65-b564-26b0428b4ee7,Tamil Nadu Person PERSON-020876,,OT-000017,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000003
2a4cf103-baf5-53a8-98ff-c496258ef27b,FIR-000004,af627e4e-827b-5817-9e28-5b95c27294ce,96693643-3653-5d36-9a52-40f326366ef4,Tamil Nadu Person PERSON-021009,,"OT-000026,OT-000021,OT-000011",2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000004
b82d7ea8-897d-5313-95be-a156c8bee832,FIR-000005,e4af1249-6c04-5449-be85-802edd43a46b,707ee2fc-a792-553a-bcea-0fecab47c912,Unknown complainant,,OT-000015,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000005
dbbde2b0-8dc0-5cce-bf40-3dc200a34b9b,FIR-000006,7779d1ff-b99e-5660-afde-5eaba930885a,f396a2bc-e7b2-581a-a717-0d20fb0e0c71,Tamil Nadu Person PERSON-037032,,OT-000016,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000006
e3168e05-bf3f-588e-868c-ccdf0d369275,FIR-000007,555fb8b5-e6f0-5ae8-931d-16ec7bf4b14a,dad60d8d-d0dd-59b2-9db8-b5eb3c9152b7,Unknown complainant,,OT-000011,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000007
ed189a79-d25b-5c92-ba1c-2eefe3b41709,FIR-000008,fb0a3b1b-6a35-5e00-a4ec-a8af1c02cbfd,3be3061d-6c91-51f1-9c47-4ba1a0e2f35a,Unknown complainant,,"OT-000009,OT-000002",2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000008
4dfd47cd-1c3e-51e8-9126-bf740c3ef866,FIR-000009,710beb7d-5253-5fbd-b3ec-c65690d46c1c,5fbbd891-b825-5e1f-bf63-055b7a716fb9,Unknown complainant,,OT-000012,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000009
600adabf-976a-591c-b9c0-5f2f30c40683,FIR-000010,94184fcc-69a4-5963-a3fd-88881c8552fe,02718541-3a6a-5f06-addd-a7160f47750d,Tamil Nadu Person PERSON-013257,,OT-000030,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000010
0a7cae77-b683-5c5d-bf42-e627f4af6cda,FIR-000011,d6506d7f-6d20-5b96-8b94-5f38f9fd2dca,b2d5b410-b10b-5d9a-aeaf-6f4b7f7a4461,Unknown complainant,,OT-000006,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000011
d3d64c7a-aab7-5b3e-a39a-185ddac09cc6,FIR-000012,0d999f58-fded-538b-a116-a0923f3af71a,95be3803-2ee3-5a84-9eee-c03f031ac0a5,Tamil Nadu Person PERSON-019579,,OT-000028,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000012
60f51a98-9393-57f8-835a-2cb6fce7453b,FIR-000013,88f5029a-7d1d-59d3-b5ae-8bf30e0aeeca,d46d5f81-459c-5bc8-8702-4d6657a1e91c,Unknown complainant,,"OT-000005,OT-000013,OT-000014",2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000013
7da00f37-22da-5250-9432-4a189c5f27e7,FIR-000014,c861f90d-f496-55d1-b52b-17137ccd3294,ec847b0c-b3e3-57ec-b0b0-31becf9168ae,Unknown complainant,,OT-000006,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000014
a8c7e4d4-2f6c-5b0e-8daf-66f1ce2ff311,FIR-000015,9d9a2a77-7847-5740-81f6-4dca904d75eb,5fb70dbf-3339-5fac-9446-3a5e62f2ab34,Unknown complainant,,OT-000005,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000015
0c7f50c3-5afe-5b5f-8320-edc2cdcea545,FIR-000016,223990bb-6be1-5da7-bf50-6e18f08c8451,91e5b3ef-44db-53ae-8a1b-e2736c1e1b07,Unknown complainant,,OT-000007,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000016
5e6dedfd-31f4-5426-b1fc-9899fe257942,FIR-000017,02ae2f6e-c1ed-5767-9cbd-295acf43ebb2,1ffbbf08-47d6-54cd-9a2a-0c82de400821,Tamil Nadu Person PERSON-020965,,OT-000021,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000017
2e340b5f-2ec2-57e5-8a0a-965e5fabfc9a,FIR-000018,38cc4be5-8abb-5387-82bc-fac7d5f34614,5786c2b5-3124-53fe-b494-d51922bba390,Unknown complainant,,"OT-000021,OT-000019,OT-000011",2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000018
a33c3d29-f948-54bd-a779-662a9e5f84ce,FIR-000019,d946eecb-1afe-57bd-a4a4-7977bea7f1a2,093d8eab-a0bf-5566-be76-5a71639263fc,Unknown complainant,,OT-000012,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000019
c16daa53-6833-5fcb-9666-af22d8c751ad,FIR-000020,8c729635-f289-5921-88a7-7f39c373c462,39228ccb-7801-52c9-98d3-ef39f2372d19,Unknown complainant,,OT-000012,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000020
44bfcb92-25ad-540b-8507-ef05d035bf3c,FIR-000021,ccae609f-7190-50b1-8bf8-012717ba478c,d9a445f7-0185-58f0-bd94-5e068d11713e,Unknown complainant,,OT-000008,2020-01-01 00:00:00,registered,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,15_case.csv,CASE-000021
