evidence_id,from_user,to_user,action,location,remarks,timestamp,id,created_at,updated_at
b37556c3-009c-4f18-921b-35f34f7c7f78,,,Evidence Registered,Khade Bazar Checkpoint,Evidence logged for case CR-2026-BLG-001,2026-08-29 12:45:07,00687fff-db0c-4613-8148-e990c32e3905,2026-08-29 12:45:07,2026-08-29 12:45:07
3866ab22-1816-4a22-8b14-bb902267d090,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,00c39474-5420-43f7-a861-3d8456292773,2026-08-29 12:45:07,2026-08-29 12:45:07
8d1e963b-eaee-4f6e-b8eb-00c21942dc18,,,Evidence Registered,Chowk Survey Layout,Evidence logged for case CR-2026-DET-033,2026-08-29 12:45:07,00f4616e-ce9d-4b3b-bcae-cec4db16a240,2026-08-29 12:45:07,2026-08-29 12:45:07
54927003-698a-4095-b6c5-1a4ad88709d9,,,Analysis Completed,Forensic Lab,Forensic analysis complete — results filed with charge sheet,2026-08-29 12:45:08,0206970b-1df2-49ce-9703-35637a288234,2026-08-29 12:45:08,2026-08-29 12:45:08
88f535c6-8bf8-4b8a-8807-39c5c0464019,,,Evidence Registered,Hoskote Junction,Evidence logged for case CR-2026-DET-223,2026-08-29 12:45:08,02b97713-fce3-4999-b2fd-d1dd7b856495,2026-08-29 12:45:08,2026-08-29 12:45:08
8030806d-2c67-41b5-9291-73a3aa99186c,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,0394e648-7edc-4966-b417-32f469c45cb7,2026-08-29 12:45:08,2026-08-29 12:45:08
97d1530f-7ad1-4d94-b644-a2a209d67cac,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,03bb5496-511e-4b91-af48-0d37083595fb,2026-08-29 12:45:08,2026-08-29 12:45:08
7b14637c-2143-4983-bbf8-0c9f9ae9a823,,,Evidence Registered,Ranebennur Cross,Evidence logged for case CR-2026-DET-083,2026-08-29 12:45:07,05881317-d162-4d74-95ef-fbc4733fd878,2026-08-29 12:45:07,2026-08-29 12:45:07
78c65a75-346a-45ea-bd93-a50f7cd4e45f,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,05a85ad3-f5c7-4c1d-8fcc-c93310a8dab5,2026-08-29 12:45:08,2026-08-29 12:45:08
4b67698c-642a-4445-90df-dd5da620dcbc,,,Evidence Registered,Jamakhandi Station Road,Evidence logged for case CR-2026-DET-218,2026-08-29 12:45:08,05ae3e62-df55-45ed-9301-14be118c1276,2026-08-29 12:45:08,2026-08-29 12:45:08
12ee183a-6486-4bce-a678-ffde7a5ba600,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,05b6acb7-6ffc-47d6-9285-da4675df1d46,2026-08-29 12:45:07,2026-08-29 12:45:07
