case_number,category_id,location_id,occurred_at,reported_at,description,mo_tags,status,priority,progress,assigned_officer_id,dataset_provenance,source_import_job_id,source_file,source_row_ref,id,created_at,updated_at
CR-2026-DET-307,537eee7f-7c4d-415e-b9be-792c02658f23,e64fc5b2-4ce1-4c28-b5c3-8a24843777c5,2026-07-20 17:55:00,2026-07-20 22:10:00,"Property Disputes reported at Betageri Cross, Gadag",darknet forum coordination,investigating,critical,52,b19d0b00-458c-4d08-b530-342a4d4f368b,demo,,,,0061975f-241e-4ae3-b312-78d327b56cde,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-YDG-001,e8dd85a6-421f-452c-811a-c3bed4e9a18b,42d2be64-dfc5-47d2-afd1-a3dcde829269,2026-08-09 22:40:00,2026-08-09 23:45:00,"Theft & Burglaries reported at Yadagir Town Center, Yadagir",cash van robbery attempt,investigating,critical,35,27fea9ae-f398-4c45-a286-94af0bd08807,demo,,,,009b99b2-c746-4ba7-b006-3df88e02f79f,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-214,019ae936-623e-4279-8981-d5b369e400f3,e1cb5409-f69e-45e2-b587-aed5764741bd,2025-10-12 19:55:00,2025-10-13 00:20:00,"Domestic Violence reported at Ballari Mines Sector B, Ballari","interstate transit, concealed false compartment, synthetic MDMA, dead drop",open,critical,42,35ec4bb7-90e0-43a2-9e8a-289e1339f1a0,demo,,,,010e73db-0e47-42ac-ba10-c9574ce6c7eb,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-GDG-001,537eee7f-7c4d-415e-b9be-792c02658f23,8fed2fe8-53a5-43e6-a4f8-64dc40e0e239,2026-08-07 18:20:00,2026-08-07 19:55:00,"Property Disputes reported at Gadag Town Center, Gadag","forged property deed, witness intimidation",investigating,medium,45,b19d0b00-458c-4d08-b530-342a4d4f368b,demo,,,,01c76242-6624-4500-b169-efc11178973e,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-189,019ae936-623e-4279-8981-d5b369e400f3,32956681-9c4f-455d-a6b2-256d984f22ce,2025-07-28 19:30:00,2025-07-28 22:40:00,"Domestic Violence reported at Davanagere Market Road, Davanagere","distillery raid, illicit arrac transport, unbranded glass bottles",open,critical,47,c31cd5b1-71b1-4e9d-a06b-9fadde8f9e6f,demo,,,,01e3b8cb-6369-4fa5-b43e-aa07b4547d71,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-184,1b770b27-4234-44c6-836f-811c4b1b0dca,8534693e-6e1d-4a29-aeae-e35baf000f0a,2025-07-12 23:00:00,2025-07-13 00:50:00,"Illegal Mining Violations reported at Bagalkote Main Road, Bagalkote","distillery raid, illicit arrac transport, unbranded glass bottles",closed,low,100,b9af6e21-ff39-4174-bce7-d4fcdcfc9a9d,demo,,,,034a10c5-3ff7-49bc-923a-c306609ec396,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-195,7da8b3f7-e772-4580-b901-3beb7e65454c,aee07501-43c6-40b9-8cad-266365912cc2,2025-08-15 16:30:00,2025-08-15 20:15:00,"Cyber Crime & Online Fraud reported at Chamarajanagar Town, Chamarajanagar","night riverbed extraction, forged transit permit, heavy excavator used",appealed,critical,58,a42d03ad-0de6-4b92-96ef-5ab3f60aff1e,demo,,,,05e5c375-6d9b-4758-afff-60745eb3fafe,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-249,b832740f-0285-496a-8ae7-c0ba3fce708b,0b55e0d6-42ee-4a1f-9bc0-435f5210decf,2026-01-27 21:05:00,2026-01-27 23:45:00,"Narcotics Smuggling Services reported at Tiptur Market Area, Tumkuru","fake identity documents, warehouse hideout used",closed,critical,100,32ef8189-db8a-47c3-b687-3bf34a097b2b,demo,,,,0742ce48-10b4-4c00-b028-a26687e17c6c,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-222,9fe65fd9-5b8c-4ac3-9804-84fbe22d9b1f,f08b6675-bdea-4824-ab7b-02bc87e80982,2025-11-03 01:45:00,2025-11-03 04:15:00,"Smuggling & Excise Violations reported at Devaraja Market Zone, Mysuru","distillery raid, illicit arrac transport, unbranded glass bottles",investigating,medium,65,6d399214-9acb-4a0b-98c8-ae0b2a17b775,demo,,,,0779cceb-7288-48f2-9cf4-85657dbc850d,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-259,7da8b3f7-e772-4580-b901-3beb7e65454c,eadefec7-c66a-4a79-a719-3e5c4741de09,2026-02-22 16:15:00,2026-02-22 20:40:00,"Cyber Crime & Online Fraud reported at Chitradurga Fort Area, Chitradurga","land document forgery, witness intimidation, fake power of attorney",appealed,critical,32,cf8c9086-2c1f-460b-86ae-70194c545cf9,demo,,,,08183f6b-2a28-47a7-b04d-3b320049a228,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-HVR-001,019ae936-623e-4279-8981-d5b369e400f3,9886a1e3-8a71-4d49-aad5-bbfe6e8c7a98,2026-08-01 18:45:00,2026-08-01 21:40:00,"Domestic Violence reported at Haveri Bus Stand Area, Haveri",repeat domestic assault complaint,open,medium,15,c64ed64b-cdd0-4f79-9a2a-f2df9ce61320,demo,,,,0851b794-9c41-41b0-860c-9e7a77c3b3fd,2026-08-29 12:45:07,2026-08-29 12:45:07
