address,district,station,latitude,longitude,pincode,dataset_provenance,source_import_job_id,source_file,source_row_ref,id,created_at,updated_at
Nazar Mohalla Beat,Mysuru,Nazarbad Police Station,12.32,76.65,570010,demo,,,,0201b9e3-394f-47ca-8471-2c0dd1078fb0,2026-08-29 12:45:07,2026-08-29 12:45:07
Channapatna Bus Stand,Ramanagara,Channapatna Police Station,12.65,77.21,562106,demo,,,,03b9d756-8425-4ffb-b5a2-04eb70a3d54d,2026-08-29 12:45:07,2026-08-29 12:45:07
Gangavathi Road,Koppal,Gangavathi Police Station,15.43,76.53,583102,demo,,,,03fdd948-c6fe-4bcb-9aba-ce5ba867ee5c,2026-08-29 12:45:07,2026-08-29 12:45:07
Ramanagara Town Center,Ramanagara,Ramanagara Town Police Station,12.72,77.28,562109,demo,,,,088c09b4-a045-45b9-80b7-a9c61158ce49,2026-08-29 12:45:07,2026-08-29 12:45:07
Tumkuru Industrial Road,Tumkuru,Town Police Station,13.3379,77.1173,572101,demo,,,,0981e5d1-2018-463a-8b8a-1e5fdcf2506b,2026-08-29 12:45:07,2026-08-29 12:45:07
Whitefield Cyber Cell Beat,Bengaluru Urban,Whitefield Police Station,12.9698,77.75,560066,demo,,,,0b019361-8ffd-49d7-b619-c58ae2b3a90f,2026-08-29 12:45:07,2026-08-29 12:45:07
Tiptur Market Area,Tumkuru,Tiptur Police Station,13.26,76.48,572102,demo,,,,0b55e0d6-42ee-4a1f-9bc0-435f5210decf,2026-08-29 12:45:07,2026-08-29 12:45:07
Kolar Gold Fields Road,Kolar,Kolar Town Police Station,13.135,78.13,563101,demo,,,,10bd2f3d-caec-4202-8ed8-5efd2c067854,2026-08-29 12:45:07,2026-08-29 12:45:07
Raichur Town Center,Raichur,Raichur Town Police Station,16.21,77.35,584101,demo,,,,135c6677-bd43-49e4-a2e3-7cff53d3bbd2,2026-08-29 12:45:07,2026-08-29 12:45:07
Harbor Gate A,Dakshina Kannada,Pandeshwar Police Station,12.905,74.835,575001,demo,,,,16f21049-399e-4ccc-bbb9-a42983811b9c,2026-08-29 12:45:07,2026-08-29 12:45:07
Hospet Town Center,Vijayanagara,Hospet Town Police Station,15.27,76.46,583101,demo,,,,1886a491-3bc5-4de7-aeb6-2350e5a560d0,2026-08-29 12:45:07,2026-08-29 12:45:07
Madikeri Town Center,Kodagu,Madikeri Town Police Station,12.42,75.74,571201,demo,,,,1b75697a-1226-432a-aaff-763cc0bee9d2,2026-08-29 12:45:07,2026-08-29 12:45:07
Dharwad Market Yard,Dharwad,Suburban Police Station,15.4589,75.0078,580001,demo,,,,1c7e41d2-86d7-41f1-8877-d22fd4eb2a6b,2026-08-29 12:45:07,2026-08-29 12:45:07
Yadgir Road Junction,Raichur,Mantralayam Road Police Station,16.19,77.37,584102,demo,,,,2080054b-41b4-46be-898f-9dc406809e4e,2026-08-29 12:45:07,2026-08-29 12:45:07
Hassan City East,Hassan,City Police Station,13.0641,76.103,573201,demo,,,,232323cf-f05a-437c-8851-67656d6094c2,2026-08-29 12:45:07,2026-08-29 12:45:07
Devanahalli Checkpost,Bengaluru Rural,Devanahalli Police Station,13.248,77.711,562110,demo,,,,25e8655a-f500-4610-ba59-751d5d20a246,2026-08-29 12:45:07,2026-08-29 12:45:07
KR Puram Transit Corridor,Bengaluru Urban,KR Puram Police Station,13.0056,77.688,560036,demo,,,,271adc05-a0ac-410d-be2b-33fba2ee0a3e,2026-08-29 12:45:07,2026-08-29 12:45:07
Hoskote Junction,Bengaluru Rural,Hoskote Police Station,13.07,77.78,562114,demo,,,,277b9f6d-cf59-4273-9358-a66c894a8f65,2026-08-29 12:45:07,2026-08-29 12:45:07
Karwar Port Road,Uttara Kannada,Karwar Town Police Station,14.81,74.13,581301,demo,,,,2c06e756-6fb1-4a05-8b94-d5ba3ead5d65,2026-08-29 12:45:07,2026-08-29 12:45:07
Chikkaballapura Town,Chikkaballapura,Chikkaballapura Town Police Station,13.43,77.72,562101,demo,,,,304c385e-8058-4cac-afa7-ad6cf9798c15,2026-08-29 12:45:07,2026-08-29 12:45:07
Davanagere Market Road,Davanagere,Davanagere Town Police Station,14.4644,75.9218,577001,demo,,,,32956681-9c4f-455d-a6b2-256d984f22ce,2026-08-29 12:45:07,2026-08-29 12:45:07
Arsikere Town Road,Hassan,Arsikere Police Station,13.31,76.25,573102,demo,,,,3388760d-ac61-45c4-bb24-2bca38f6d13e,2026-08-29 12:45:07,2026-08-29 12:45:07
Camp Area Patrol,Belagavi,Camp Police Station,15.8625,74.505,590006,demo,,,,3733d8bd-c340-422a-b303-10f2e7871b5b,2026-08-29 12:45:07,2026-08-29 12:45:07
Jayanagar 4th Block,Bengaluru Urban,Jayanagar Police Station,12.926,77.583,560041,demo,,,,39c5202a-873d-4ce4-b993-90e8e720913a,2026-08-29 12:45:07,2026-08-29 12:45:07
Jamakhandi Station Road,Bagalkote,Jamakhandi Police Station,16.536,75.293,587102,demo,,,,3d6a60ba-8f85-4f78-8477-37b0aca20425,2026-08-29 12:45:07,2026-08-29 12:45:07
Yadagir Town Center,Yadagir,Yadagir Town Police Station,16.77,77.04,585201,demo,,,,42d2be64-dfc5-47d2-afd1-a3dcde829269,2026-08-29 12:45:07,2026-08-29 12:45:07
Bangarapet Station Road,Kolar,Bangarapet Police Station,12.99,78.18,563102,demo,,,,4e91e45a-2b03-406d-808b-cf92fa79f91d,2026-08-29 12:45:07,2026-08-29 12:45:07
Indi Town Center,Vijayapura,Indi Police Station,17.18,75.95,586102,demo,,,,5198ddb4-ccc1-4850-87eb-9de79acea356,2026-08-29 12:45:07,2026-08-29 12:45:07
Mysuru-Mandya Highway,Mandya,Srirangapatna Police Station,12.42,76.69,571402,demo,,,,5746881f-84f3-4219-92fb-0ed29d4d8936,2026-08-29 12:45:07,2026-08-29 12:45:07
Chikkamagaluru Town,Chikkamagaluru,Chikkamagaluru Town Police Station,13.32,75.78,577101,demo,,,,58514cca-e5de-4726-8e67-d0daff330f62,2026-08-29 12:45:07,2026-08-29 12:45:07
HSR Layout Beat,Bengaluru Urban,HSR Layout Police Station,12.9116,77.6389,560102,demo,,,,595f8b31-6c92-4d7b-868e-311497cbda34,2026-08-29 12:45:07,2026-08-29 12:45:07
Sagara Main Road,Shimoga,Sagara Police Station,14.16,75.03,577202,demo,,,,609d0027-23c1-4b74-9863-3c4b8ed81adc,2026-08-29 12:45:07,2026-08-29 12:45:07
Shimoga City Center,Shimoga,Shimoga Town Police Station,13.93,75.56,577201,demo,,,,60a1ce7d-e7ff-4d1b-8b91-39b289f3bfa9,2026-08-29 12:45:07,2026-08-29 12:45:07
Khade Bazar Checkpoint,Belagavi,Khade Bazar Station,15.8497,74.4977,590001,demo,,,,6df48abb-bec2-46fd-b5f2-fedb99cfbb11,2026-08-29 12:45:07,2026-08-29 12:45:07
Bidar Fort Road,Bidar,Bidar Town Police Station,17.91,77.52,585101,demo,,,,79a998be-1c0c-4399-9e2d-af98b8223fd6,2026-08-29 12:45:07,2026-08-29 12:45:07
Koramangala Layout,Bengaluru Urban,Koramangala Police Station,12.9352,77.6245,560034,demo,,,,7a1fcf66-da18-4fde-936f-31906c9a83f4,2026-08-29 12:45:07,2026-08-29 12:45:07
Vani Vilas Mohalla,Mysuru,Vani Vilas Mohalla Police Station,12.31,76.62,570017,demo,,,,7eb21de1-5854-4fe8-aa0b-1ec6865450bd,2026-08-29 12:45:07,2026-08-29 12:45:07
Bagalkote Main Road,Bagalkote,Bagalkote Town Police Station,16.18,75.693,587101,demo,,,,8534693e-6e1d-4a29-aeae-e35baf000f0a,2026-08-29 12:45:07,2026-08-29 12:45:07
Hubli Traffic Island,Dharwad,Hubli City Police Station,15.3647,75.124,580002,demo,,,,8ca968cd-085f-4ed9-a02e-90b26d1f329a,2026-08-29 12:45:07,2026-08-29 12:45:07
Hiriyur Junction,Chitradurga,Hiriyur Police Station,14.08,76.54,577502,demo,,,,8cc97cfd-82fe-492f-b5e9-b66d17ce4a58,2026-08-29 12:45:07,2026-08-29 12:45:07
Kadur Junction,Chikkamagaluru,Kadur Police Station,13.55,76.01,577102,demo,,,,8ceccb58-8b23-43f4-8675-a91354ac86bf,2026-08-29 12:45:07,2026-08-29 12:45:07
Gadag Town Center,Gadag,Gadag Town Police Station,15.4289,75.627,582101,demo,,,,8fed2fe8-53a5-43e6-a4f8-64dc40e0e239,2026-08-29 12:45:07,2026-08-29 12:45:07
Udupi Krishna Math Road,Udupi,Udupi Town Police Station,13.34,74.74,576101,demo,,,,97c577f1-e34f-4af8-8d26-4aa6cef67b53,2026-08-29 12:45:07,2026-08-29 12:45:07
Haveri Bus Stand Area,Haveri,Haveri Town Police Station,14.7936,75.405,581110,demo,,,,9886a1e3-8a71-4d49-aad5-bbfe6e8c7a98,2026-08-29 12:45:07,2026-08-29 12:45:07
Mandya Town Center,Mandya,Mandya Town Police Station,12.52,76.9,571401,demo,,,,9f99dfc3-9d40-4c97-832b-59260dfdad8a,2026-08-29 12:45:07,2026-08-29 12:45:07
Bellary-Hospet Road,Vijayanagara,Sandur Police Station,15.25,76.55,583102,demo,,,,9fcb383c-3e94-43ff-a9da-349c924f7167,2026-08-29 12:45:07,2026-08-29 12:45:07
Chowk Survey Layout,Kalaburagi,Chowk Police Station,17.3297,76.8343,585101,demo,,,,a4bedd52-a3dc-4a90-8569-dca5662935e5,2026-08-29 12:45:07,2026-08-29 12:45:07
Gundlupet Junction,Chamarajanagar,Gundlupet Police Station,11.81,76.69,571312,demo,,,,a78860ab-f799-443b-8a88-1698ef2a4c5c,2026-08-29 12:45:07,2026-08-29 12:45:07
Tilakwadi Beat,Belagavi,Tilakwadi Police Station,15.838,74.478,590009,demo,,,,a90cc06e-9010-4775-a321-a35cd380281d,2026-08-29 12:45:07,2026-08-29 12:45:07
Chamarajanagar Town,Chamarajanagar,Chamarajanagar Town Police Station,11.92,76.94,571313,demo,,,,aee07501-43c6-40b9-8cad-266365912cc2,2026-08-29 12:45:07,2026-08-29 12:45:07
Homnabad Cross,Bidar,Homnabad Police Station,17.77,77.13,585102,demo,,,,af5fa199-cce9-4618-b574-e182e434dd6f,2026-08-29 12:45:07,2026-08-29 12:45:07
Gauribidanur Cross,Chikkaballapura,Gauribidanur Police Station,13.61,77.51,562102,demo,,,,b3cbd8d6-4a2b-412c-aa14-22d9f749ee8f,2026-08-29 12:45:07,2026-08-29 12:45:07
Puttur Town Center,Dakshina Kannada,Puttur Police Station,12.76,75.25,574201,demo,,,,bafdb499-eb05-4f1a-99d6-f9eeed47fd2e,2026-08-29 12:45:07,2026-08-29 12:45:07
Virajpet Cross Road,Kodagu,Virajpet Police Station,12.2,75.8,571202,demo,,,,cc8f38c8-f592-4a9b-826d-f047fb83c593,2026-08-29 12:45:07,2026-08-29 12:45:07
Harpanahalli Junction,Davanagere,Harpanahalli Police Station,14.51,75.99,577002,demo,,,,d4a7d6da-b132-4b42-a3fd-2a3d537a912f,2026-08-29 12:45:07,2026-08-29 12:45:07
Bellary City Center,Ballari,City Police Station,15.14,76.91,583102,demo,,,,d4bbaa84-6a09-47e5-a52d-738e27f8db20,2026-08-29 12:45:07,2026-08-29 12:45:07
Kapu Beach Junction,Udupi,Kapu Police Station,13.38,74.68,576102,demo,,,,d89164ee-fc7d-4a4c-b073-b925c429bd2c,2026-08-29 12:45:07,2026-08-29 12:45:07
Vijayapura Fort Area,Vijayapura,Vijayapura City Police Station,16.83,75.71,586101,demo,,,,d9061461-6426-4fd4-861a-d5528957c9c3,2026-08-29 12:45:07,2026-08-29 12:45:07
Yellapur Junction,Uttara Kannada,Yellapur Police Station,14.97,74.7,581303,demo,,,,dad870c6-c84b-4236-96b9-96b945aef839,2026-08-29 12:45:07,2026-08-29 12:45:07
Ranebennur Cross,Haveri,Ranebennur Police Station,14.6113,75.621,581115,demo,,,,dc4b7077-3bfc-44e2-91fc-ac9c2ed3bf06,2026-08-29 12:45:07,2026-08-29 12:45:07
Ballari Mines Sector B,Ballari,Rural Police Station,15.1394,76.9214,583101,demo,,,,e1cb5409-f69e-45e2-b587-aed5764741bd,2026-08-29 12:45:07,2026-08-29 12:45:07
Betageri Cross,Gadag,Betageri Police Station,15.445,75.61,582102,demo,,,,e64fc5b2-4ce1-4c28-b5c3-8a24843777c5,2026-08-29 12:45:07,2026-08-29 12:45:07
Koppal Town Center,Koppal,Koppal Town Police Station,15.35,76.13,583101,demo,,,,e781c2c2-bc8a-4871-883d-091dc864adb0,2026-08-29 12:45:07,2026-08-29 12:45:07
Chitradurga Fort Area,Chitradurga,Chitradurga Town Police Station,14.23,76.4,577501,demo,,,,eadefec7-c66a-4a79-a719-3e5c4741de09,2026-08-29 12:45:07,2026-08-29 12:45:07
Tirthahalli Cross,Shimoga,Tirthahalli Police Station,13.69,75.24,577203,demo,,,,eae4b1c0-00d0-44ed-9400-af7999f23e15,2026-08-29 12:45:07,2026-08-29 12:45:07
Gulbarga University Road,Kalaburagi,Afzalpur Road Police Station,17.33,76.85,585102,demo,,,,ee3d6a63-af53-4c1c-b088-c69307792f39,2026-08-29 12:45:07,2026-08-29 12:45:07
Surathkal Beach Road,Dakshina Kannada,Surathkal Police Station,12.98,74.86,575002,demo,,,,f07ae8af-ace2-4c71-a2dc-af921c23b8c5,2026-08-29 12:45:07,2026-08-29 12:45:07
Devaraja Market Zone,Mysuru,Devaraja Police Station,12.2958,76.6394,570001,demo,,,,f08b6675-bdea-4824-ab7b-02bc87e80982,2026-08-29 12:45:07,2026-08-29 12:45:07
